query,label
How can I book multiple tickets for a group travel with Ryanair?,Group Bookings
Can I select my seat when booking a flight? I prefer to sit by the window.,Seat Selection
"I lost my wallet on the plane, how do I report it?",Lost and Found
I'm experiencing problems with the Ryanair mobile app. It keeps crashing when I try to check my booking. What can I do to fix this issue and access my flight details?,Mobile App Issues
Is there a loyalty program for frequent travelers?,Loyalty Programs
"I need to file a complaint, what is the process?",Complaints and Feedback
I'm having trouble accessing my Ryanair customer account. How can I resolve this issue?,Customer Account Issues
What documents are required for traveling to Italy?,Travel Documentation
Can I add extra baggage to my Ryanair booking?,Baggage Policies
What are the weight limits for checked bags on Ryanair flights?,Baggage Policies
"I'm unable to access my customer account, help?",Customer Account Issues
How can I apply for a refund or compensation for my flight that was significantly delayed last week?,Refunds and Compensation
Is travel insurance automatically included with my Ryanair booking?,Travel Insurance
Can you provide the current status of flight FR1234?,Flight Status
What if I have a problem with payment during booking?,Payment Issues
Can I use my travel voucher towards the purchase of a new ticket?,Travel Vouchers
Is there a frequent flyer program with Ryanair?,Loyalty Programs
What are the current flight statuses for Ryanair flights?,Flight Status
How can I file a claim with Ryanair's travel insurance?,Travel Insurance
Can I change my seat after I have completed the booking?,Seat Selection
How do I resolve issues with my flight payment?,Payment Issues
"I have several travel vouchers from Ryanair. How can I redeem them, and is it possible to use multiple vouchers for a single booking?",Travel Vouchers
Do Ryanair flights provide meals and beverages for passengers?,In-flight Services
I'm having an issue with my payment for a Ryanair flight. Can you help?,Payment Issues
What is Ryanair's policy on refunds for flight cancellations?,Refunds and Compensation
What are the benefits of Ryanair's business travel program?,Business Travel
Can I buy duty-free items on an international Ryanair flight?,Duty-Free Shopping
"The Ryanair mobile app isn't working, any tips?",Mobile App Issues
Where can I check if my flight to Dublin is delayed?,Flight Status
What documentation do I need to bring for my Ryanair flight?,Travel Documentation
How do I book a flight for a large family group?,Group Bookings
Can I reschedule my flight with Ryanair?,Flight Changes
Does Ryanair have airline partnerships or alliances?,Partnerships and Alliances
How can I find information on current Ryanair promotions?,Promotions and Discounts
"I'm having issues with the Ryanair mobile app, can you assist? The app keeps crashing and I can't check my booking. Is there a way to troubleshoot the app or contact support for help?",Mobile App Issues
What are the guidelines for traveling with babies on Ryanair?,Child and Infant Travel
What are the check-in procedures at the airport? Do I need to arrive early or can I check-in online?,Check-in Procedures
How can I file a complaint about my flight?,Complaints and Feedback
Can I travel to any European country without restrictions?,Travel Restrictions
Are pets allowed in the cabin or do they need to be checked in?,Pet Travel
I'm having issues with the Ryanair mobile app. It keeps crashing. Can you help me fix this problem?,Mobile App Issues
I lost my bag. What do I do?,Lost and Found
"I need to book flights for a large group of people, what is the best way to do this with Ryanair?",Group Bookings
Is the flight from Munich to Vienna delayed?,Flight Status
I want to file a complaint about my recent flight with Ryanair. Can you provide information on how to do this and where to send my feedback?,Complaints and Feedback
"Does Ryanair provide special assistance for passengers with disabilities? I need help with boarding and deplaning, and I use a wheelchair.",Special Assistance
"What are Ryanair's policies and procedures for dealing with weather-related flight disruptions, such as cancellations or delays?",Weather-related Disruptions
Are there any special discounts for students or seniors?,Promotions and Discounts
Do I need a visa to travel from the UK to France?,Travel Documentation
How can I accumulate frequent flyer miles on Ryanair?,Frequent Flyer Miles
Do I need a visa to fly from the UK to Germany with Ryanair?,Travel Documentation
What kind of in-flight services and amenities does Ryanair offer?,In-flight Services
How do I request assistance for a disabled passenger on Ryanair?,Special Assistance
What travel restrictions are currently in place for Ryanair flights? Are there any specific countries or regions that have additional entry requirements or restrictions due to COVID-19 or other reasons?,Travel Restrictions
How do I use my travel voucher for a new booking with Ryanair? Is there an expiration date and how can I apply it to my booking?,Travel Vouchers
Are there any discounts for frequent flyers with Ryanair?,Loyalty Programs
Are there any travel restrictions for flights to Istanbul?,Travel Restrictions
Can I check the real-time status of my flight online?,Flight Status
I tried booking a flight but my payment was declined multiple times. Can you help me understand why this happened and what I need to do to successfully complete my purchase?,Payment Issues
